group,surv.type,pair12,median1,median2,median.diff,pval,pval.adj
HNSC,OS,G-PW,1.6414,1.5571,0.0843,0.01746,0.03492
KIRC,OS,G-PW,1.732,1.7156,0.0164,0.1299,0.1485
KIRC,PFS,G-PW,1.6374,1.6103,0.0271,0.03258,0.05213
KIRP,OS,G-PW,3.2731,3.1756,0.0975,0.3762,0.3762
KIRP,PFS,G-PW,2.6256,2.2938,0.3318,6.52e-06,2.608e-05
LIHC,OS,G-PW,1.8398,1.8177,0.0221,0.0002838,0.0007568
LIHC,PFS,G-PW,1.5474,1.6367,-0.0893,1.893e-24,1.514e-23
PRAD,PFS,G-PW,2.2018,2.3828,-0.181,0.04243,0.05657
