pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_FPGT.xlsx,0.731750600322556,0.999009343429626,0.841473325378251,0.313273478699796,2.26025311897427,0.732069806046608,0.99900935012244,0.89370301490237,0.99810517257344,1.03557312390287,0.621481151269047,1.72557396593624,0.893263906475594,0.998107405344458
centr_pathway_FPR1.xlsx,0.31741572054362,0.999009343429626,0.60000910904174,0.218032967816229,1.65117658370133,0.322659856699592,0.99900935012244,0.812356755517555,0.99810517257344,1.06376421523698,0.638472877853778,1.7723451455332,0.812403531200899,0.998107405344458
centr_pathway_FPR2.xlsx,0.980085769968961,0.999009343429626,0.987593049274637,0.370546319396802,2.63216763983324,0.980085899026102,0.99900935012244,0.480622203089552,0.99810517257344,1.2021069119316,0.720208447474668,2.00644831754011,0.481275400622882,0.998107405344458
centr_pathway_FPR3.xlsx,0.525860878866856,0.999009343429626,1.37498465179008,0.511898076837488,3.69327973322019,0.52760231751343,0.99900935012244,0.362062881753337,0.99810517257344,1.26829882203917,0.759828883554507,2.11703179071181,0.363224801426581,0.998107405344458
centr_pathway_FRA11D.xlsx,0.171062014844322,0.999009343429626,2.00139366109651,0.726474611052332,5.51371861554117,0.179617747071573,0.99900935012244,0.577010302250431,0.99810517257344,0.863773385033135,0.516193567729082,1.44539666384061,0.577173074001833,0.998107405344458
centr_pathway_FRA16A.xlsx,0.673747114570049,0.999009343429626,0.809073035161484,0.301187203646134,2.17339637375334,0.67431994743449,0.99900935012244,0.775824765383236,0.99810517257344,0.928449408795141,0.556916537591549,1.5478410973751,0.775879672246589,0.998107405344458
centr_pathway_FRAS1.xlsx,0.592145762897351,0.999009343429626,0.763910850796446,0.284357208628412,2.05220676760519,0.59325956024224,0.99900935012244,0.68135725862853,0.99810517257344,1.11296691343756,0.667551358433021,1.85558060029176,0.68152661872968,0.998107405344458
centr_pathway_FRAT1.xlsx,0.309303425407507,0.999009343429626,1.68080724048162,0.610758886217315,4.6255781838109,0.31472095805456,0.99900935012244,0.281768449293538,0.99810517257344,1.32485417471215,0.792321750041718,2.21531036369983,0.283512178523815,0.998107405344458
centr_pathway_FRAT2.xlsx,0.211252400004507,0.999009343429626,1.88796674775412,0.685509353772562,5.19966419277756,0.218899401412954,0.99900935012244,0.468417116400124,0.99810517257344,1.20804227637288,0.724339616712405,2.01475400189745,0.468931039963096,0.998107405344458
centr_pathway_FREM1.xlsx,0.918342670135542,0.999009343429626,0.950015620139435,0.356410234516745,2.53227767079318,0.918351561553766,0.99900935012244,0.551831764270897,0.99810517257344,1.16806787420046,0.699824719085939,1.94960612497548,0.552263824467284,0.998107405344458
centr_pathway_FREM2.xlsx,0.933486887965026,0.999009343429626,0.959118357493316,0.35985157313009,2.55635404252664,0.933491695045361,0.99900935012244,0.53227184620023,0.99810517257344,1.17708134839924,0.705235751811658,1.96462033751146,0.532758894993679,0.998107405344458
centr_pathway_FRMD1.xlsx,0.162350633647012,0.999009343429626,2.08995314281252,0.725851676096729,6.01762630437162,0.171892641243452,0.99900935012244,0.831859416373465,0.99810517257344,1.05685733116876,0.633817364335857,1.7622543674163,0.83212060954824,0.998107405344458
centr_pathway_FRMD6.xlsx,0.655461365190941,0.999009343429626,1.25178025984726,0.46582348864815,3.36383599609944,0.656134475199851,0.99900935012244,0.323255258413431,0.99810517257344,1.29478845144607,0.774355215819237,2.16499753569098,0.324633024745577,0.998107405344458
centr_pathway_FRS2.xlsx,0.945386834620344,0.999009343429626,1.03485184746472,0.388293340832706,2.75801368085411,0.945389496601488,0.99900935012244,0.827256889669337,0.99810517257344,1.05846907693754,0.635303462101602,1.76349863280586,0.827294165496321,0.998107405344458
centr_pathway_FRS3.xlsx,0.245536128112549,0.999009343429626,0.55351509933412,0.201032339714268,1.52402825150583,0.252385097529767,0.99900935012244,0.165091690822527,0.99810517257344,0.694901750555329,0.414505457317862,1.16497487403298,0.167364634292035,0.998107405344458
centr_pathway_FRZB.xlsx,0.381385567532186,0.999009343429626,1.56584127653363,0.568903173470523,4.30980001102683,0.385355977306775,0.99900935012244,0.583465945775064,0.99810517257344,1.15403726489725,0.69139524809121,1.92625276561898,0.583623315869179,0.998107405344458
centr_pathway_FSHB.xlsx,0.475326141696593,0.999009343429626,1.43080897138066,0.532273086641601,3.84617288373597,0.477665199403027,0.99900935012244,0.821955240127546,0.99810517257344,0.942920802292002,0.56546965164718,1.57232070157098,0.82175919504218,0.998107405344458
centr_pathway_FSHR.xlsx,0.751090760400719,0.999009343429626,1.17203748514125,0.439050867913705,3.12873055713039,0.751340387943541,0.99900935012244,0.28292432101906,0.99810517257344,1.32346701360947,0.792160838020161,2.21112285794136,0.284517143124029,0.998107405344458
centr_pathway_FST.xlsx,0.0324811084001593,0.999009343429626,3.21440141934458,1.03638038662292,9.96967582371264,0.0431928890760776,0.99900935012244,0.393800890125322,0.99810517257344,0.799968207667334,0.478424088042575,1.33761896458177,0.394819199450101,0.998107405344458
centr_pathway_FSTL1.xlsx,0.149478354220304,0.999009343429626,2.13643849172171,0.742241791711493,6.14943739342054,0.15932130857882,0.99900935012244,0.543749189553572,0.99810517257344,0.853709820551641,0.512066214106788,1.4232933898551,0.544194766699684,0.998107405344458
centr_pathway_FTCD hCG_401256.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
centr_pathway_FTCD.xlsx,0.447872842621269,0.999009343429626,1.46387569072713,0.543937127809996,3.93966862775062,0.450575782960908,0.99900935012244,0.859915003763918,0.99810517257344,1.0470238591956,0.627959688995421,1.74574734801621,0.860160163826001,0.998107405344458
centr_pathway_FTH1.xlsx,0.428326045253762,0.999009343429626,0.666043154925714,0.241964860771227,1.83337978419448,0.431487303422631,0.99900935012244,0.198020648405201,0.99810517257344,1.39973307918226,0.836874795436299,2.3411539021624,0.200056064156921,0.998107405344458
centr_pathway_FTL.xlsx,0.428326045253762,0.999009343429626,0.666043154925714,0.241964860771227,1.83337978419448,0.431487303422631,0.99900935012244,0.198020648405201,0.99810517257344,1.39973307918226,0.836874795436299,2.3411539021624,0.200056064156921,0.998107405344458
